DOUBLE CHEESE MARGHERITA,800,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
PANEER MAKHANI,750,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
PANEER MAKHANI,900,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
FARMHOUSE,750,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
FARMHOUSE,900,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
FRESH VEGGIE,750,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
SINGLE EGG CHEESE ROLLS,60,NA,Food,,NA,11,Kaathi Junction
FRESH VEGGIE,900,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
MEXICAN GREEN WAVE,750,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
MEXICAN GREEN WAVE,900,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
5 PAPPER,800,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
5 PAPPER,1000,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
PEPPY PANEER,800,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
PEPPY PANEER,1000,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
DOUBLE EGG CHEESE,80,NA,Food,,NA,11,Kaathi Junction
VEGGIE PARADISE,800,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
VEGGIE PARADISE,1000,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
VEG EXTRAVEGNZA,950,MED (DDTC) 2 Pizza,Food,True,NA,3,Domino's Pizza
VEG EXTRAVEGNZA,1100,MED BURST - 2 Pizza,Food,True,NA,3,Domino's Pizza
PEPPER BBQ,650,MED (DDTC) 2 Pizza,Food,False,NA,3,Domino's Pizza
PEPPER BBQ,800,MED BURST - 2 Pizza,Food,False,NA,3,Domino's Pizza
PERI PERI CHICKEN,750,MED (DDTC) 2 Pizza,Food,False,NA,3,Domino's Pizza
MUTTON KEEMA CHEESE ROLLS,300,NA,Food,False,NA,11,Kaathi Junction
EGG MUTTON KEEMA ROLLS,300,NA,Food,False,NA,11,Kaathi Junction
POTATO CHEESE ROLLS,180,NA,Food,True,NA,11,Kaathi Junction
Wafers,20,NA,Food,True,NA,13,Coca Cola
CHICKEN GOLDEN DELIGHT,900,MED (DDTC) 2 Pizza,Food,False,NA,3,Domino's Pizza
CHICKEN GOLDEN DELIGHT,1000,MED BURST - 2 Pizza,Food,False,NA,3,Domino's Pizza
CHICKEN DOMINATOR,1000,MED (DDTC) 2 Pizza,Food,False,NA,3,Domino's Pizza
CHICKEN DOMINATOR,1250,MED BURST - 2 Pizza,Food,False,NA,3,Domino's Pizza
Veggie paradise + Peppy paneer (Burst Medium),1000,MED BURST,Food,True,NA,3,Domino's Pizza
Garlic bread with cheese dip,140,NA,Food,True,NA,3,Domino's Pizza
